source_row,domain,site_id,list_url,careers_url,status_code,job_links_found,sample_job_url,sample_title,error,elapsed_seconds
2280,ciphertechsolutions.applicantpro.com,1978,https://ciphertechsolutions.applicantpro.com/core/jobs/1978?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://ciphertechsolutions.applicantpro.com/jobs/,200,14,https://ciphertechsolutions.applicantpro.com/jobs/4094053,Forensic Software Developer/Reverse Engineer: All Levels [OCONUS Deployable] – FUTURE NEED  ,,0.64
2294,cityautomurfreesboro.applicantpro.com,19552,https://cityautomurfreesboro.applicantpro.com/core/jobs/19552?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://cityautomurfreesboro.applicantpro.com/jobs/,200,4,https://cityautomurfreesboro.applicantpro.com/jobs/4081370,Automotive  Sales Representative,,0.57
2300,cityofbrenham.applicantpro.com,426,https://cityofbrenham.applicantpro.com/core/jobs/426?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://cityofbrenham.applicantpro.com/jobs/,200,9,https://cityofbrenham.applicantpro.com/jobs/4047422,Apprentice Lineworker I - EAL/EAL1,,0.54
2301,cityofcharleston.applicantpro.com,4076,https://cityofcharleston.applicantpro.com/core/jobs/4076?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://cityofcharleston.applicantpro.com/jobs/,200,4,https://cityofcharleston.applicantpro.com/jobs/4161348,Constituent Services Assistant - Part time,,0.61
2306,cityofhomerak.applicantpro.com,1852,https://cityofhomerak.applicantpro.com/core/jobs/1852?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://cityofhomerak.applicantpro.com/jobs/,200,7,https://cityofhomerak.applicantpro.com/jobs/4095865,Community Jail Officer I or II,,0.59
2312,ciwatertownwi.applicantpro.com,11208,https://ciwatertownwi.applicantpro.com/core/jobs/11208?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://ciwatertownwi.applicantpro.com/jobs/,200,7,https://ciwatertownwi.applicantpro.com/jobs/4154228,Crossing Guard-Part Time,,0.61
2357,cmcs.applicantpro.com,15770,https://cmcs.applicantpro.com/core/jobs/15770?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://cmcs.applicantpro.com/jobs/,200,33,https://cmcs.applicantpro.com/jobs/4139524,Assistant Teacher,,0.67
2385,coilcraft.applicantpro.com,2003,https://coilcraft.applicantpro.com/core/jobs/2003?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://coilcraft.applicantpro.com/jobs/,200,40,https://coilcraft.applicantpro.com/jobs/4083946,Accounts Receivable Associate,,0.64
2412,comanco.applicantpro.com,3590,https://comanco.applicantpro.com/core/jobs/3590?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://comanco.applicantpro.com/jobs/,200,18,https://comanco.applicantpro.com/jobs/3176778,Application for Future Consideration,,0.54
2419,commercialtoolgroup.applicantpro.com,11083,https://commercialtoolgroup.applicantpro.com/core/jobs/11083?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://commercialtoolgroup.applicantpro.com/jobs/,200,16,https://commercialtoolgroup.applicantpro.com/jobs/1435314,**General Application**,,0.59
