source_row,domain,json_url,status_code,job_links_found,sample_job_url,sample_title,error,elapsed_seconds
5552,north-wind-group.breezy.hr,https://north-wind-group.breezy.hr/json,200,57,https://north-wind-group.breezy.hr/p/f3a6ccbea1b5-archaeological-field-director-04075-nwrc,Archaeological Field Director 04075 NWRC,,0.18
5573,novaces-llc.breezy.hr,https://novaces-llc.breezy.hr/json,200,23,https://novaces-llc.breezy.hr/p/5f75fe181426-business-growth-leader-military-health-care,Business Growth Leader - Military Health Care,,0.17
5604,nucleusteq.breezy.hr,https://nucleusteq.breezy.hr/json,200,31,https://nucleusteq.breezy.hr/p/3a1e8bb1a10f-agentic-ai-developer,Agentic AI Developer,,0.15
5671,on-call-computer-solutions-llc.breezy.hr,https://on-call-computer-solutions-llc.breezy.hr/json,200,5,https://on-call-computer-solutions-llc.breezy.hr/p/1770082a2c78-cmmc-compliance-specialist,CMMC Compliance Specialist,,0.12
5678,onebridge.breezy.hr,https://onebridge.breezy.hr/json,200,24,https://onebridge.breezy.hr/p/34266250f622-ai-engineer,AI Engineer,,0.17
5700,ontrac-solutions-llc.breezy.hr,https://ontrac-solutions-llc.breezy.hr/json,200,36,https://ontrac-solutions-llc.breezy.hr/p/ee48d5b5af03-api-integration-specialist-talend-fintech-systems,API Integration Specialist – Talend & FinTech Systems,,0.18
5702,onyx-insight.breezy.hr,https://onyx-insight.breezy.hr/json,200,7,https://onyx-insight.breezy.hr/p/6691945bf4c701-condition-monitoring-engineer,Condition Monitoring Engineer,,0.15
5886,personified-tech.breezy.hr,https://personified-tech.breezy.hr/json,200,1,https://personified-tech.breezy.hr/p/5e957faef8b0-client-support-technician,Client Support Technician,,0.12
5925,pinnacle-specialty-group-inc.breezy.hr,https://pinnacle-specialty-group-inc.breezy.hr/json,200,19,https://pinnacle-specialty-group-inc.breezy.hr/p/e0a93aee7f3b-electrical-i-c-engineer,Electrical  I&C Engineer,,0.23
5996,prageru.breezy.hr,https://prageru.breezy.hr/json,200,14,https://prageru.breezy.hr/p/7538b511cfc9-chief-of-staff-marketing,"Chief of Staff, Marketing",,0.20
5999,precision-strategies.breezy.hr,https://precision-strategies.breezy.hr/json,200,15,https://precision-strategies.breezy.hr/p/f73ffab075bc-associate-vice-president-digital-focused,"Associate Vice President, Digital Focused",,0.17
6022,privacy-bee.breezy.hr,https://privacy-bee.breezy.hr/json,200,3,https://privacy-bee.breezy.hr/p/df02bd25464f-account-executive-b2b-saas-fast-growing-tech-startup,Account Executive (B2B SaaS @ Fast Growing Tech Startup),,0.13
6034,prolift-rigging.breezy.hr,https://prolift-rigging.breezy.hr/json,200,44,https://prolift-rigging.breezy.hr/p/dc55950d90d3-accountant,Accountant,,0.18
6073,punch-cyber-analytics-group.breezy.hr,https://punch-cyber-analytics-group.breezy.hr/json,200,8,https://punch-cyber-analytics-group.breezy.hr/p/97ebd0878bf2-cybersecurity-engineer,Cybersecurity Engineer,,0.14
6112,quintessa-marketing.breezy.hr,https://quintessa-marketing.breezy.hr/json,200,5,https://quintessa-marketing.breezy.hr/p/29b5f2b124a6-executive-operations-coordinator,Executive Operations Coordinator,,0.10
6172,recruiting.breezy.hr,https://recruiting.breezy.hr/json,200,245,https://recruiting.breezy.hr/p/9f0d48bae2ef-fastwater-staffing-mbse-consultant-model-based-systems-engineering-fully-remote,( Fastwater Staffing ) MBSE Consultant — Model-Based Systems Engineering | Fully Remote,,0.24
6197,reface.breezy.hr,https://reface.breezy.hr/json,200,1,https://reface.breezy.hr/p/6c365a747404-product-marketing-manager,Product Marketing Manager,,0.14
6220,renalogic.breezy.hr,https://renalogic.breezy.hr/json,200,3,https://renalogic.breezy.hr/p/1c96cb2b2d10-bilingual-clinical-nurse-coach-rn,Bilingual Clinical Nurse Coach (RN),,0.13
6243,revamp-engineering-inc.breezy.hr,https://revamp-engineering-inc.breezy.hr/json,200,12,https://revamp-engineering-inc.breezy.hr/p/36ad8f065c7e-business-development-crm-operations-specialist,Business Development & CRM Operations Specialist,,0.14
6245,reveleer.breezy.hr,https://reveleer.breezy.hr/json,200,8,https://reveleer.breezy.hr/p/279bb5f849e2-ba-test-job-15-july,BA-test job-15 july,,0.12
6250,revver.breezy.hr,https://revver.breezy.hr/json,200,2,https://revver.breezy.hr/p/6449baf6ba97-director-of-gtm-systems-automations,Director of GTM Systems & Automations,,0.10
6295,rockcruit.breezy.hr,https://rockcruit.breezy.hr/json,200,23,https://rockcruit.breezy.hr/p/8a50669e339e-bo1-ejecutivo-a-de-ventas-senior,BO1 - Ejecutivo/a de Ventas Senior,,0.15
6341,ruvixx.breezy.hr,https://ruvixx.breezy.hr/json,200,10,https://ruvixx.breezy.hr/p/a9c64eb069e4-apac-engagement-specialist-serving-india,APAC - Engagement Specialist Serving India,,0.10
6356,sabanto.breezy.hr,https://sabanto.breezy.hr/json,200,6,https://sabanto.breezy.hr/p/6157872cbcdb-field-technician,Field Technician,,0.21
6408,savas-labs.breezy.hr,https://savas-labs.breezy.hr/json,200,1,https://savas-labs.breezy.hr/p/ea8ecd039ba3-senior-sales-engineer,Senior Sales Engineer,,0.18
6413,sbc-performance.breezy.hr,https://sbc-performance.breezy.hr/json,200,18,https://sbc-performance.breezy.hr/p/abb7f4c6c49401-data-analyst,Data Analyst,,0.17
6448,sealing-technologies-inc.breezy.hr,https://sealing-technologies-inc.breezy.hr/json,200,7,https://sealing-technologies-inc.breezy.hr/p/714d1754ac12-devops-engineer,DevOps Engineer,,0.23
6453,seasats.breezy.hr,https://seasats.breezy.hr/json,200,15,https://seasats.breezy.hr/p/247435cf75ef-assembly-technician,Assembly Technician,,0.19
6511,serv-recruitment-agency.breezy.hr,https://serv-recruitment-agency.breezy.hr/json,200,25,https://serv-recruitment-agency.breezy.hr/p/79657812884c-ai-business-lead-martell-ventures,AI Business Lead: Martell Ventures,,0.17
6524,seventh-dimension.breezy.hr,https://seventh-dimension.breezy.hr/json,200,81,https://seventh-dimension.breezy.hr/p/5736764be9ff-18b-special-forces-weapons-instructor,18B Special Forces Weapons Instructor,,0.22
6547,shiphero.breezy.hr,https://shiphero.breezy.hr/json,200,1,https://shiphero.breezy.hr/p/da20e59aa15d-general-manager,General Manager,,0.13
6562,sigital-llc.breezy.hr,https://sigital-llc.breezy.hr/json,200,4,https://sigital-llc.breezy.hr/p/de5fe64477ee-senior-servicenow-business-process-consultant-remote-us-based,Senior ServiceNow Business Process Consultant (Remote/US based),,0.14
6607,skyspecs.breezy.hr,https://skyspecs.breezy.hr/json,200,10,https://skyspecs.breezy.hr/p/70c6d58b1e4f-account-executive-europe,"Account Executive, Europe",,0.14
6649,social-discovery-ventures.breezy.hr,https://social-discovery-ventures.breezy.hr/json,200,49,https://social-discovery-ventures.breezy.hr/p/72fae92487e901-ai-graphic-designer-freelance,AI Graphic Designer (Freelance),,0.17
6668,source-1-solutions.breezy.hr,https://source-1-solutions.breezy.hr/json,200,5,https://source-1-solutions.breezy.hr/p/2c0776b052d4-join-the-source-1-solutions-team,Join the Source 1 Solutions Team,,0.13
6788,stinson.breezy.hr,https://stinson.breezy.hr/json,200,4,https://stinson.breezy.hr/p/2dcb5e547527-account-manager,Account Manager,,0.14
6803,strata-g-llc.breezy.hr,https://strata-g-llc.breezy.hr/json,200,32,https://strata-g-llc.breezy.hr/p/0b225d256739-civil-engineers,Civil Engineers,,0.15
6850,surge.breezy.hr,https://surge.breezy.hr/json,200,321,https://surge.breezy.hr/p/3ab39835d57f-2nd-shift-forklift-lead,2nd Shift Forklift Lead,,0.17
6911,talentuch.breezy.hr,https://talentuch.breezy.hr/json,200,20,https://talentuch.breezy.hr/p/9b0b20107b23-account-manager-recruitment-consultant-it-recruitment-rpo-services,Account Manager / Recruitment Consultant (IT Recruitment / RPO Services),,0.23
6956,teal.breezy.hr,https://teal.breezy.hr/json,200,6,https://teal.breezy.hr/p/5daf747dd8c8-business-development-representative,Business Development Representative,,0.17
6958,team-uis.breezy.hr,https://team-uis.breezy.hr/json,200,11,https://team-uis.breezy.hr/p/9809614bc49b-electrical-engineer-arc-flash,Electrical Engineer - Arc Flash,,0.20
6974,technical-engineering-consulting.breezy.hr,https://technical-engineering-consulting.breezy.hr/json,200,13,https://technical-engineering-consulting.breezy.hr/p/eb26e0d15b23-csv-specialist,CSV Specialist,,0.12
6999,terrestris-global-solutions.breezy.hr,https://terrestris-global-solutions.breezy.hr/json,200,146,https://terrestris-global-solutions.breezy.hr/p/206a2b9e295601-1st-year-dde-faculty-instructor,1st-Year DDE Faculty Instructor,,0.21
7001,terzo-enterprises.breezy.hr,https://terzo-enterprises.breezy.hr/json,200,34,https://terzo-enterprises.breezy.hr/p/de52945a64d7-1st-shift-pallet-repair,1st Shift Pallet Repair,,0.17
7019,the-croghan-colonial-bank.breezy.hr,https://the-croghan-colonial-bank.breezy.hr/json,200,6,https://the-croghan-colonial-bank.breezy.hr/p/719e0caadfef-accountant,Accountant,,0.12
