"state","city_key","city"
"AL","bellamy","Bellamy"
"AL","belle fontaine","Belle Fontaine"
"AL","benton","Benton"
"AL","berlin","Berlin"
"AL","berry","Berry"
"AL","bessemer","Bessemer"
"AL","billingsley","Billingsley"
"AL","birmingham","Birmingham"
"AL","black","Black"
"AL","blountsville","Blountsville"
"AL","blue ridge","Blue Ridge"
"AL","blue springs","Blue Springs"
"AL","boaz","Boaz"
"AL","boligee","Boligee"
"AL","bon air","Bon Air"
"AL","bon secour","Bon Secour"
"AL","boykin","Boykin"
"AL","brantley","Brantley"
"AL","brantleyville","Brantleyville"
"AL","brent","Brent"
"AL","brewton","Brewton"
"AL","bridgeport","Bridgeport"
"AL","brighton","Brighton"
"AL","brilliant","Brilliant"
"AL","bristow cove","Bristow Cove"
"AL","brook highland","Brook Highland"
"AL","brookside","Brookside"
"AL","brookwood","Brookwood"
"AL","broomtown","Broomtown"
"AL","brundidge","Brundidge"
"AL","bucks","Bucks"
"AL","butler","Butler"
"AL","calera","Calera"
"AL","calvert","Calvert"
"AL","camden","Camden"
"AL","camp hill","Camp Hill"
"AL","carbon hill","Carbon Hill"
"AL","cardiff","Cardiff"
"AL","carlisle-rockledge","Carlisle-Rockledge"
"AL","carlton","Carlton"
"AL","carolina","Carolina"
"AL","carrollton","Carrollton"
"AL","castleberry","Castleberry"
"AL","catherine","Catherine"
"AL","cedar bluff","Cedar Bluff"
"AL","center point","Center Point"
"AL","centre","Centre"
"AL","centreville","Centreville"
"AL","chatom","Chatom"
"AL","chelsea","Chelsea"
"AL","cherokee","Cherokee"
"AL","cherokee ridge","Cherokee Ridge"
"AL","chickasaw","Chickasaw"
"AL","childersburg","Childersburg"
"AL","choccolocco","Choccolocco"
"AL","chunchula","Chunchula"
"AL","citronelle","Citronelle"
"AL","clanton","Clanton"
"AL","clay","Clay"
"AL","clayhatchee","Clayhatchee"
"AL","clayton","Clayton"
"AL","cleveland","Cleveland"
"AL","clio","Clio"
"AL","coaling","Coaling"
"AL","coats bend","Coats Bend"
"AL","coffee springs","Coffee Springs"
"AL","coffeeville","Coffeeville"
"AL","coker","Coker"
"AL","collinsville","Collinsville"
"AL","colony","Colony"
"AL","columbia","Columbia"
"AL","columbiana","Columbiana"
"AL","concord","Concord"
"AL","coosada","Coosada"
"AL","cordova","Cordova"
"AL","cottondale","Cottondale"
"AL","cottonwood","Cottonwood"
"AL","county line","County Line"
"AL","courtland","Courtland"
"AL","cowarts","Cowarts"
"AL","creola","Creola"
"AL","crossville","Crossville"
"AL","cuba","Cuba"
"AL","cullman","Cullman"
"AL","cullomburg","Cullomburg"
"AL","cusseta","Cusseta"
"AL","dadeville","Dadeville"
"AL","daleville","Daleville"
"AL","daphne","Daphne"
"AL","dauphin island","Dauphin Island"
"AL","daviston","Daviston"
"AL","dayton","Dayton"
"AL","deatsville","Deatsville"
"AL","decatur","Decatur"
"AL","deer park","Deer Park"
"AL","delta","Delta"
"AL","demopolis","Demopolis"
"AL","detroit","Detroit"
"AL","dodge city","Dodge City"
"AL","dora","Dora"
"AL","dothan","Dothan"
"AL","double springs","Double Springs"
"AL","douglas","Douglas"
"AL","dozier","Dozier"
"AL","dunnavant","Dunnavant"
"AL","dutton","Dutton"
"AL","eagle point","Eagle Point"
"AL","east brewton","East Brewton"
"AL","east point","East Point"
"AL","eclectic","Eclectic"
"AL","edgewater","Edgewater"
"AL","edwardsville","Edwardsville"
"AL","egypt","Egypt"
"AL","elba","Elba"
"AL","elberta","Elberta"
"AL","eldridge","Eldridge"
"AL","elkmont","Elkmont"
"AL","elmore","Elmore"
"AL","emelle","Emelle"
"AL","emerald mountain","Emerald Mountain"
"AL","enterprise","Enterprise"
