source_row,domain,site,api_url,careers_url,status_code,validated,total_jobs,sample_job_id,sample_title,sample_company,sample_job_url,error,elapsed_seconds
3860,hdde.fa.us2.oraclecloud.com,CX,"https://hdde.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdde.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,200,True,109,4248,Warehouse Associate I,U.S. Water Heating,https://hdde.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/4248,,1.20
3861,hdep.fa.us2.oraclecloud.com,CX,"https://hdep.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdep.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,200,True,220,8225,Regional Due Diligence Lead,"Digital Realty Trust, L.P.",https://hdep.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/8225,,1.30
3862,hdhf.fa.us6.oraclecloud.com,CX_2001,"https://hdhf.fa.us6.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_2001,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdhf.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001,200,True,160,21004703,Loader Operator- Rhea County Quarry,"Rogers Group, Inc.",https://hdhf.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/21004703,,1.86
3863,hdid.fa.us2.oraclecloud.com,CX_1,"https://hdid.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdid.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,161,4707,Asset Service - Associate/AVP,Jefferies LLC,https://hdid.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/4707,,2.13
3864,hdiy.fa.us2.oraclecloud.com,CX,"https://hdiy.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdiy.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,200,True,688,22867,Assistant Store Manager - Operations,At Home,https://hdiy.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/22867,,1.26
3865,hdjm.fa.ca2.oraclecloud.com,CX,"https://hdjm.fa.ca2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdjm.fa.ca2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,200,True,13,1985,Trabalhador Agropecuário,Alta Genetics Inc.,https://hdjm.fa.ca2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/1985,,1.70
3866,hdjq.fa.us2.oraclecloud.com,CX_1,"https://hdjq.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,853,25030340,Field Sales Engineer,Emerson,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/25030340,,2.11
3867,hdkk.fa.us6.oraclecloud.com,CX_2001,"https://hdkk.fa.us6.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_2001,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdkk.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001,200,True,860,19351,OR Administrative Assistant,Cedars-Sinai Medical Center,https://hdkk.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/19351,,1.92
3868,hdnn.fa.us6.oraclecloud.com,CX,"https://hdnn.fa.us6.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdnn.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,200,True,157,114025,PCS Software Engineer,Arconic Corporation,https://hdnn.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/114025,,1.30
3869,hdow.fa.us6.oraclecloud.com,CX_1003,"https://hdow.fa.us6.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1003,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdow.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1003,200,True,93,249622,AML Executive,Cantor-Technology,https://hdow.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1003/job/249622,,1.84
3870,hdox.fa.us6.oraclecloud.com,CX_1,"https://hdox.fa.us6.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdox.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,2107,63650,Customer Service Representative - Billing II,Quest Diagnostics,https://hdox.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/63650,,1.21
