"domain","site","source_file"
"duboischemicals.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"elemica.wd501.myworkdayjobs.com","Elemica_Careers","workday_commoncrawl_valid_top100_latest.csv"
"exos.wd501.myworkdayjobs.com","EXOSCAREERS","workday_commoncrawl_valid_top100_latest.csv"
"fhsu.wd503.myworkdayjobs.com","CAREERS","workday_commoncrawl_valid_top100_latest.csv"
"freshfields.wd3.myworkdayjobs.com","FBD_101","workday_commoncrawl_valid_top100_latest.csv"
"fronius.wd3.myworkdayjobs.com","Job_Board","workday_commoncrawl_valid_top100_latest.csv"
"frontiereconomics.wd3.myworkdayjobs.com","Frontier_Economics_Careers","workday_commoncrawl_valid_sliced_latest.csv"
"fugro.wd3.myworkdayjobs.com","Careers","workday_commoncrawl_valid_top100_latest.csv"
"galvestoncountytx.wd503.myworkdayjobs.com","CountyofGalvestonCareers","workday_commoncrawl_valid_top100_latest.csv"
"gea.wd3.myworkdayjobs.com","GEACareers","workday_commoncrawl_valid_top100_latest.csv"
"gianttiger.wd3.myworkdayjobs.com","gianttiger","workday_commoncrawl_valid_top100_latest.csv"
"greathearts.wd503.myworkdayjobs.com","GreatHearts_Careers","workday_commoncrawl_valid_top100_latest.csv"
"grpr.wd3.myworkdayjobs.com","palace_jobs","workday_commoncrawl_valid_sliced_latest.csv"
"grpr.wd3.myworkdayjobs.com","parques_reunidos","workday_commoncrawl_valid_top100_latest.csv"
"hengeler.wd502.myworkdayjobs.com","HM-Candidate_Events","workday_commoncrawl_valid_sliced_latest.csv"
"hengeler.wd502.myworkdayjobs.com","HM-Careers-Business-Services","workday_commoncrawl_valid_sliced_100_latest.csv"
"hengeler.wd502.myworkdayjobs.com","HM-Careers-Legal","workday_commoncrawl_valid_top100_latest.csv"
"hfecorp.wd503.myworkdayjobs.com","palace_jobs","workday_commoncrawl_valid_top100_latest.csv"
"hksinc.wd501.myworkdayjobs.com","HKSCareers","workday_commoncrawl_valid_top100_latest.csv"
