"domain","site","source_file"
"merceruniversity.wd1.myworkdayjobs.com","external","workday_skip_previous_for_batch3.csv"
"micron.wd1.myworkdayjobs.com","External","workday_skip_previous_for_batch3.csv"
"mmc.wd1.myworkdayjobs.com","careers","workday_skip_previous_for_batch3.csv"
"mmc.wd1.myworkdayjobs.com","MMC","workday_skip_previous_for_batch3.csv"
"modmed.wd501.myworkdayjobs.com","ModMed12","workday_skip_previous_for_batch3.csv"
"moelis.wd1.myworkdayjobs.com","Experienced-Hires","workday_skip_previous_for_batch3.csv"
"moelis.wd1.myworkdayjobs.com","University-Hires","workday_skip_previous_for_batch3.csv"
"monarchcasino.wd501.myworkdayjobs.com","Monarch_Casinos","workday_skip_previous_for_batch3.csv"
"msh.wd503.myworkdayjobs.com","External","workday_skip_previous_for_batch3.csv"
"mtminc.wd1.myworkdayjobs.com","MTM_External","workday_skip_previous_for_batch3.csv"
"muhlenberg.wd1.myworkdayjobs.com","MuhlenbergCareers","workday_skip_previous_for_batch3.csv"
"musc.wd1.myworkdayjobs.com","MUSC","workday_commoncrawl_valid_batch3_100.csv"
"nas.wd1.myworkdayjobs.com","NAS_Careers","workday_commoncrawl_valid_batch3_100.csv"
"natura.wd501.myworkdayjobs.com","NaturaCarreiras","workday_skip_previous_for_batch3.csv"
"navigators.wd1.myworkdayjobs.com","External","workday_skip_previous_for_batch3.csv"
"ngs.wd1.myworkdayjobs.com","ngs_external_career_site","workday_skip_previous_for_batch3.csv"
"noblecorp.wd1.myworkdayjobs.com","noblecorp","workday_skip_previous_for_batch3.csv"
"nrpgroup.wd1.myworkdayjobs.com","NRP","workday_skip_previous_for_batch3.csv"
"osv_cfainstitute.wd5.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100.csv"
"pae.wd1.myworkdayjobs.com","Amentum_Careers","workday_skip_previous_for_batch3.csv"
"path.wd1.myworkdayjobs.com","External","workday_skip_previous_for_batch3.csv"
"paypal.wd1.myworkdayjobs.com","jobs","workday_skip_previous_for_batch3.csv"
"pennmutual.wd1.myworkdayjobs.com","_penn-careers","workday_commoncrawl_valid_batch3_100.csv"
"poet.wd1.myworkdayjobs.com","POET","workday_skip_previous_for_batch3.csv"
"polarsemi.wd501.myworkdayjobs.com","Polar","workday_skip_previous_for_batch3.csv"
"priceline.wd1.myworkdayjobs.com","Priceline","workday_skip_previous_for_batch3.csv"
"primetherapeutics.wd1.myworkdayjobs.com","PrimeTherapeuticsCareers","workday_skip_previous_for_batch3.csv"
"pursuitcollection.wd501.myworkdayjobs.com","pursuit","workday_skip_previous_for_batch3.csv"
"rayonier.wd501.myworkdayjobs.com","Rayonier_Careers","workday_skip_previous_for_batch3.csv"
"reputation.wd1.myworkdayjobs.com","External","workday_commoncrawl_valid_batch3_100.csv"
"rockymountain.wd1.myworkdayjobs.com","RMI","workday_commoncrawl_valid_batch3_100.csv"
"rwlasvegas.wd501.myworkdayjobs.com","RWLV_External_Careers","workday_skip_previous_for_batch3.csv"
"savista.wd1.myworkdayjobs.com","Savista","workday_commoncrawl_valid_batch3_100.csv"
"sellagroup.wd3.myworkdayjobs.com","ID01","workday_skip_previous_for_batch3.csv"
"semtech.wd1.myworkdayjobs.com","SemtechCareers","workday_commoncrawl_valid_batch3_100.csv"
"simcorp.wd3.myworkdayjobs.com","SimCorp_Jobs","workday_skip_previous_for_batch3.csv"
"sky.wd3.myworkdayjobs.com","sky_careers","workday_skip_previous_for_batch3.csv"
"sok.wd502.myworkdayjobs.com","S-ryhman-avoimet-tyopaikat","workday_skip_previous_for_batch3.csv"
"sonder.wd1.myworkdayjobs.com","Join_Sonder","workday_commoncrawl_valid_batch3_100.csv"
"soti.wd3.myworkdayjobs.com","Careers","workday_skip_previous_for_batch3.csv"
"speedcast.wd1.myworkdayjobs.com","speedcastcareers","workday_commoncrawl_valid_batch3_100.csv"
"springernature.wd3.myworkdayjobs.com","SpringerNatureCareers","workday_skip_previous_for_batch3.csv"
"stcharles.wd1.myworkdayjobs.com","External","workday_commoncrawl_valid_batch3_100.csv"
"stellamccartney.wd3.myworkdayjobs.com","SMCExternal","workday_skip_previous_for_batch3.csv"
"storaenso.wd502.myworkdayjobs.com","Stora_Enso_site_opportunities","workday_skip_previous_for_batch3.csv"
"storebrand.wd3.myworkdayjobs.com","SPP_Careers","workday_skip_previous_for_batch3.csv"
"svha.wd3.myworkdayjobs.com","SVHA_SVHA","workday_skip_previous_for_batch3.csv"
"swarovski.wd3.myworkdayjobs.com","swarovski","workday_skip_previous_for_batch3.csv"
"swisslife.wd3.myworkdayjobs.com","livit-ag-career-stellenboerse","workday_skip_previous_for_batch3.csv"
"swisslife.wd3.myworkdayjobs.com","Swiss_Life_Deutschland_Stellenangebote","workday_skip_previous_for_batch3.csv"
"swisslife.wd3.myworkdayjobs.com","Swiss_Life_Division_France_Career_Site","workday_skip_previous_for_batch3.csv"
"swisslife.wd3.myworkdayjobs.com","Swiss_Life_International_Division_Career_Site","workday_skip_previous_for_batch3.csv"
"synthomer.wd3.myworkdayjobs.com","synthomercareers","workday_skip_previous_for_batch3.csv"
"theapexgroup.wd3.myworkdayjobs.com","apexgroupcareers","workday_skip_previous_for_batch3.csv"
"tieto.wd3.myworkdayjobs.com","Tieto_Careers_External_Site","workday_skip_previous_for_batch3.csv"
"tmx.wd3.myworkdayjobs.com","TMX_Careers","workday_skip_previous_for_batch3.csv"
"tomtailorgroup.wd502.myworkdayjobs.com","TomTailor","workday_skip_previous_for_batch3.csv"
"trugreen.wd1.myworkdayjobs.com","USExternalCareers","workday_commoncrawl_valid_batch3_100.csv"
"ttiemea.wd3.myworkdayjobs.com","TTI","workday_skip_previous_for_batch3.csv"
"tulsacounty.wd1.myworkdayjobs.com","TC","workday_commoncrawl_valid_batch3_100.csv"
"tulsacounty.wd1.myworkdayjobs.com","TCSO","workday_commoncrawl_valid_batch3_100.csv"
"tvc.wd1.myworkdayjobs.com","external","workday_commoncrawl_valid_batch3_100.csv"
"uhaul.wd1.myworkdayjobs.com","UhaulJobs","workday_commoncrawl_valid_batch3_100.csv"
"ukgrantt.wd3.myworkdayjobs.com","CareersGrantThornton","workday_skip_previous_for_batch3.csv"
"unhcr.wd3.myworkdayjobs.com","External","workday_skip_previous_for_batch3.csv"
"unhcr.wd3.myworkdayjobs.com","FormerStaff","workday_skip_previous_for_batch3.csv"
"willamette.wd501.myworkdayjobs.com","WillametteUniversityJobs","workday_skip_previous_for_batch3.csv"
"wri.wd501.myworkdayjobs.com","WRI","workday_skip_previous_for_batch3.csv"
"wri.wd501.myworkdayjobs.com","WRI_India","workday_skip_previous_for_batch3.csv"
"yle.wd502.myworkdayjobs.com","External","workday_skip_previous_for_batch3.csv"
"zebra.wd501.myworkdayjobs.com","Zebra_careers","workday_skip_previous_for_batch3.csv"
"zeppelin.wd3.myworkdayjobs.com","careers","workday_skip_previous_for_batch3.csv"
"zuehlke.wd3.myworkdayjobs.com","Zuhlke-Careers","workday_skip_previous_for_batch3.csv"
